epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,609.454,1.15245,0.65759,0.94822,0.88005,0.93776,0.95381,0.51744,1.44196,0.81053,0.96693,0.000416,0.000416,0.000416
82,617.304,1.16349,0.65402,0.9394,0.91272,0.94354,0.9607,0.52332,1.42795,0.79486,0.9648,0.0003962,0.0003962,0.0003962
83,625.452,1.13321,0.64918,0.95087,0.939,0.96241,0.96934,0.53708,1.41382,0.77251,0.95639,0.0003764,0.0003764,0.0003764
84,633.715,1.17384,0.67185,0.94657,0.92744,0.94737,0.9567,0.53402,1.42397,0.77189,0.96084,0.0003566,0.0003566,0.0003566
85,642.052,1.18103,0.65806,0.95213,0.93505,0.95489,0.96859,0.53407,1.4229,0.77166,0.96141,0.0003368,0.0003368,0.0003368
86,650.569,1.1556,0.67661,0.96748,0.94806,0.96067,0.96699,0.53731,1.42287,0.77676,0.96161,0.000317,0.000317,0.000317
87,659.044,1.15444,0.6616,0.93747,0.94832,0.96589,0.97365,0.54625,1.40919,0.75767,0.95334,0.0002972,0.0002972,0.0002972
88,667.225,1.13843,0.6516,0.94697,0.94847,0.96874,0.97541,0.546,1.41262,0.75528,0.95247,0.0002774,0.0002774,0.0002774
89,675.524,1.14994,0.65641,0.95575,0.92794,0.95489,0.97705,0.52903,1.44581,0.78949,0.9546,0.0002576,0.0002576,0.0002576
90,683.458,1.16895,0.64562,0.95077,0.92747,0.96152,0.97697,0.52469,1.46147,0.79821,0.95523,0.0002378,0.0002378,0.0002378
91,691.182,1.14238,0.74078,0.9403,0.93407,0.95875,0.96967,0.51798,1.47819,0.80294,0.95758,0.000218,0.000218,0.000218
92,698.821,1.12433,0.71315,0.94152,0.93363,0.95185,0.961,0.51075,1.4934,0.8113,0.9605,0.0001982,0.0001982,0.0001982
93,706.955,1.08994,0.64644,0.94238,0.91974,0.94779,0.96108,0.51629,1.48492,0.80825,0.95988,0.0001784,0.0001784,0.0001784
94,714.373,1.10787,0.65761,0.94077,0.9193,0.9422,0.95763,0.52636,1.4626,0.80038,0.95826,0.0001586,0.0001586,0.0001586
95,722.041,1.11964,0.65426,0.93832,0.91332,0.95069,0.96287,0.52716,1.45115,0.8011,0.95662,0.0001388,0.0001388,0.0001388
96,729.712,1.08263,0.64127,0.94089,0.91247,0.94052,0.95588,0.52445,1.44912,0.80012,0.95757,0.000119,0.000119,0.000119
97,737.287,1.09554,0.64778,0.93118,0.92408,0.96241,0.96552,0.52753,1.44774,0.79164,0.95694,9.92e-05,9.92e-05,9.92e-05
98,744.638,1.09804,0.6518,0.93374,0.92075,0.95489,0.9668,0.5256,1.44839,0.79073,0.9546,7.94e-05,7.94e-05,7.94e-05
99,752.227,1.09426,0.63864,0.9334,0.93762,0.95489,0.96889,0.53298,1.45127,0.788,0.95398,5.96e-05,5.96e-05,5.96e-05
100,759.531,1.09429,0.64623,0.93265,0.9368,0.95489,0.96945,0.53283,1.45112,0.78318,0.95384,3.98e-05,3.98e-05,3.98e-05
